ID,DiscordId,DiscordUsername,DiscordDiscriminator,CreatedAt,UpdatedAt,WalletAddress,Missions
8,324720793789530122,tokoshiro5,4591,2022-01-24T03:03:42.884Z,2022-01-24T03:03:42.961Z,0x1943266B8ddC54c3AD3ca7274D6c6560B41fe5c1,{1}
9,385172587635802132,Jonss,2187,2022-01-24T03:03:42.9Z,2022-01-24T03:03:42.964Z,0x49B7d2e6D244dB6f6445CfB01b07E823dd355174,{1}
15,869340877934452737,skoolzada,8846,2022-01-24T03:03:42.928Z,2022-01-24T03:03:42.98Z,0x643202Bb63499A52417aC258d099a50C95999E2C,{1}
14,901964935951704145,rgrosman,7143,2022-01-24T03:03:42.925Z,2022-01-24T03:03:42.974Z,0x48D9B582E515f1e23E9430f92F0BF83bbf9d0C25,{1}
17,700832402527879338,hellvis_undead,9078,2022-01-24T03:11:43.99Z,2022-01-24T03:11:44.037Z,0xC694c187e96ac3f9DE6a821Fb5c1DD278fC3bac8,{1}
49,372787624005599253,AlexNet3,4854,2022-02-06T01:30:16.023Z,2022-03-22T23:47:03.529Z,0xE664E7cf8Ac3Fe22Ff82e586569626811D83b565,"{1,2,3}"
19,825479397586239488,tacho,0016,2022-01-24T16:48:19.158Z,2022-07-30T02:14:13.501Z,0xdB5A423a1D4203442F4861f8626DC3663A4BFd3A,"{1,2,3,4,5,6,7,8,9}"
18,342174857057927169,Rômulo,2993,2022-01-24T09:30:43.124Z,2022-03-23T08:55:21.256Z,0xc8DfC3924909EccCBA4E59f19AEc5cB419b83417,"{1,2,3,4}"
29,936657044453331014,ereami,9363,2022-01-28T18:30:19.45Z,2022-03-24T02:04:21.177Z,0x262Fc3F92567dD9B34e0FA5495f122617446E9da,"{1,2,3,4}"
26,463058157757923358,Bruno Ribeiro,0989,2022-01-28T16:35:40.84Z,2022-01-28T16:35:41.547Z,0x656341f25ED9843Bdc82bEaf086247aC7046060F,{1}
28,678969773757038593,Eduardo Lima,5349,2022-01-28T16:37:32.131Z,2022-01-28T16:37:32.293Z,0xBb0C0b66A12BbfA707FB59979B8132706c363a59,{1}
713,505044626479120392,,7655,2022-09-01T19:16:58.613Z,2022-09-01T19:16:58.613Z,,
33,600066168258035722,chbelwis,4212,2022-01-29T01:24:24.173Z,2022-01-29T01:24:24.186Z,0x93aab98DbbA7dbeEBF9c42a129e6fdff671dd0Be,{1}
34,890877186981134358,amireyu,0639,2022-01-29T16:10:38.795Z,2022-01-29T16:10:38.868Z,0x9352d397d16e69Ce9ADb3e46D290A10A48fe0994,{1}
37,507916856821284894,melk,8101,2022-01-29T18:14:42.876Z,2022-01-29T18:14:42.893Z,0xC05b93d1C4D2EF26dC3E52b952B5126C1aEA4448,{1}
39,255114170008076292,Kinash,0001,2022-01-29T23:39:58.501Z,2022-02-20T20:21:21.125Z,0x74284e688820737298cB0CADf518a3F60bA2D4d1,"{1,2,3}"
32,262962394911735820,ianflexa,6495,2022-01-29T00:46:09.955Z,2022-01-30T02:06:12.462Z,0x9E9E23fe046759f7554f4F5CaE617B54590eEE65,"{1,2}"
40,596339106468855849,C_F_A_R,1894,2022-01-30T01:08:43.505Z,2022-01-30T02:06:28.618Z,0x7Ad5ae332Eb843623880A32105DEA4E6Ea0D4CFA,"{1,2}"
16,281618321584029707,pisom,5976,2022-01-24T03:03:42.94Z,2022-01-30T02:10:16.806Z,0x7D3cd7c54f37b22B5edfC3F742aFe373bb4B69e7,"{1,2}"
20,264533489687330816,FelipeNe0ff,4849,2022-01-24T21:18:30.276Z,2022-01-30T02:42:50.625Z,0x182FdaB2608C84c5BC079e5698adAdA41157dd1F,"{1,2}"
41,764213472018825216,Kanye East,0069,2022-01-30T10:03:23.599Z,2022-01-30T10:03:24.738Z,0x504a2E565e023b01536Cbd48fB59F27Bd8b7Bc86,{1}
27,544951054245298197,yuripulga,3186,2022-01-28T16:36:36.353Z,2022-01-30T15:13:02.992Z,0x6eCFa8e7734D4A844D334Ef521a6741bA84E7Df8,"{1,2}"
42,273842465423884288,guilhermebr,1426,2022-01-30T17:59:36.173Z,2022-01-30T19:55:35.717Z,0x2802461E020056ac44d86F86fD2f38283fA325B0,"{1,2}"
43,535883570078547969,benti,4183,2022-01-30T22:44:12.598Z,2022-01-30T22:47:55.003Z,0x92c69A6F24a115BF0F9CaD4e76BCAd7E959Ab4e9,"{1,2}"
35,768496605036412990,Anna Bida,8092,2022-01-29T16:24:54.907Z,2022-01-31T15:47:37.158Z,0xd799CEFA341F71caC2e2b1D61768faD3Da053596,"{1,2}"
31,646516774665322518,brunoamaraldev,3081,2022-01-28T20:50:49.666Z,2022-01-31T21:31:30.401Z,0x95237d7cF9C1922Cd3fC329AFd92Ef0262195F85,"{1,2}"
23,644485984133709824,Jackiel,0895,2022-01-26T18:14:28.7Z,2022-02-02T18:54:57.997Z,0x403A69B0A00582b58F10C4F99785EdE11589A76C,"{1,2}"
46,550112177445404701,D'assis,6283,2022-02-03T03:23:48.864Z,2022-02-03T03:35:26.286Z,0x42142695325c4e8DbCa54086231A2FcC74C30389,"{1,2}"
47,385153801528541184,Caike,9719,2022-02-04T12:59:49.959Z,2022-02-04T15:45:29.012Z,0xcB7F592A8EFa76F5a4DC398db359Be1e0Da30dE3,"{1,2}"
48,881023373403119627,,1120,2022-02-04T16:04:37.172Z,2022-02-04T16:04:37.172Z,,
12,708003067072872449,fabio morais,7365,2022-01-24T03:03:42.921Z,2022-02-09T14:43:42.157Z,0xFa343261B1228E5f0D60F82054A456922F819D30,"{1,2}"
21,316400029931929602,Adaltec,5869,2022-01-26T03:24:39.706Z,2022-02-09T21:43:44.162Z,0xaC6E65C3576525E5c4173c7E9730BBFEdeAb94FD,"{1,2}"
22,871440027882758165,Pedro Papoti Calazans,6702,2022-01-26T15:01:11.333Z,2022-02-15T15:38:54.231Z,0x26Cde9ecd50122dFC151B279C670cbCcB86B7f4B,"{1,2}"
107,393457039935799306,Paulo Amorim 🏴,3120,2022-03-10T20:33:43.879Z,2022-03-10T20:33:43.896Z,0x613C85b6cd9201e0F8252Ca0905dEeAE346fB842,{1}
51,419162375153909760,programonauta,6588,2022-02-08T15:17:52.055Z,2022-02-08T15:21:13.507Z,0x4F10f17dc90ebc2190E4C0F7053350F2296b98c1,"{1,2}"
50,727486389444280371,Jeferson Cruz,7915,2022-02-07T14:07:04.628Z,2022-04-07T18:29:25.865Z,0x1321008E4Cdd96AfE8074d2B807eA8985b701c66,"{1,2,3,4,5}"
53,841023212124110909,AI engineer13,6477,2022-02-10T18:55:56.356Z,2022-02-10T18:55:56.928Z,0xbC327ab59394061EBA363804b0AA483a30fAc753,{1}
114,447859739242659853,AlexAD,7258,2022-03-15T14:58:27.649Z,2022-05-09T18:13:52.32Z,0x4298551482a0cE8e42B40E69f0E38676c80b6Bc2,"{1,2,4,6}"
109,930574534023720980,andrecamera11,9834,2022-03-11T14:21:07.008Z,2022-03-11T14:40:49.971Z,0x08f28d80927d6D957F47df0F9fc0d1423e3BC655,"{1,2,3}"
101,872825661318914098,João | Criptonita.eth,4969,2022-03-09T23:39:23.143Z,2022-03-09T23:45:04.771Z,0xffD51bE8a7254a2d6545b99CbC493Bb26B19Ab39,"{1,2,3}"
95,937030431239450654,Rafael Naufel,1895,2022-02-23T18:26:45.678Z,2022-02-23T18:45:15.055Z,0x56CfF02b84426e7248adc2832Df0e24e24A92c86,"{1,2,3}"
59,222555893496020993,Fernando,3820,2022-02-15T03:13:14.778Z,2022-09-08T02:59:57.089Z,0xA59A943856C8507Eae78C61939f5733C7e6d7438,"{1,2,3,4,5,6,7,8,9}"
60,766318616848236554,Francisco Andrade,6136,2022-02-15T20:02:55.625Z,2022-02-15T20:02:55.684Z,0xCb8eA9cc7F602F0b02A08F52568eFF07Dd5f91BA,{1}
61,936934779218182214,adamssillva,4816,2022-02-21T23:08:30.53Z,2022-05-02T22:05:01.944Z,0x6aA9049DbDb4D614E09943a53567D19E09feC7B4,"{1,2,3,4,5,6}"
45,515173322384998403,rodrigofogaca,6318,2022-02-02T17:23:09.195Z,2022-02-20T21:40:02.29Z,0xbf94A232Bc4f15AAFfD658E046623863Af3CE8B4,"{1,2,3}"
57,443781990739738636,marcilio,0248,2022-02-14T18:17:21.084Z,2022-02-21T10:40:46.399Z,0x43542bC387415954d82e34A180605331C13A11fD,"{1,2,3}"
116,758396319114592329,dida-sil,8078,2022-03-16T09:11:57.512Z,2022-05-17T12:12:28.17Z,0x9F738D36CDD930863A60d4ec4aEdB55CaB32ED28,"{1,2,3,4,5,6,7}"
338,485184180582481931,Karyus,8004,2022-05-10T01:39:43.72Z,2022-05-10T01:39:43.743Z,0x690a193d6382B0ecfDD27a872982D52516b47D3B,{1}
108,933085161099243630,ppp.joao,3963,2022-03-11T13:24:41.197Z,2022-04-06T12:59:18.588Z,0x22755543d172D0E7F52536520813d44d2A74C03B,"{1,2,3,4,5}"
111,898282123369263174,AAmandita_🏴,4805,2022-03-14T00:02:11.901Z,2022-03-14T20:35:53.286Z,0xD8Af492f138e18c8D1653bA18374b00A1Ef927B3,"{1,2}"
58,512216371686408192,roquestar,7674,2022-02-15T00:17:00.846Z,2022-04-12T21:41:16.85Z,0x2010a23baF7F111E70eCa367a4D564BE83dF59a0,"{1,2,3,4,5}"
117,393133583549857794,Gustavo 🌊🏆,0415,2022-03-16T10:49:56.45Z,2022-03-16T10:55:12.689Z,0x77c9E6678cFA64730982fBc70C55420eFCbC5Ee4,"{1,2,3}"
65,722906106028097599,glaucomirosevic,9259,2022-02-21T23:08:30.651Z,2022-02-21T23:08:30.782Z,0x999C2E5A502dc4DbC31A96BF83E84DDec3881BB3,{1}
64,813538812403646486,Arev,1817,2022-02-21T23:08:30.609Z,2022-03-30T17:06:54.953Z,0xFABbcfBa00B52B92AB036559Bb0bc01F8a32335C,"{1,2,3,4}"
62,627935065334349826,joaoPedro14,3988,2022-02-21T23:08:30.601Z,2022-02-21T23:53:50.557Z,0x339704E45F6AE1dB916F0e3670B1A512125B4961,"{1,2,3}"
63,392647894202843137,Astral Projection,8450,2022-02-21T23:08:30.607Z,2022-02-22T00:17:00.429Z,0xfa5DA9d371a78054F278a5F8D75F26fAf323c431,"{1,2,3}"
94,288423783239385090,Silvao,7858,2022-02-23T03:45:47.651Z,2022-02-23T03:53:00.798Z,0x66250F6956715f7C372Bb8B5B4333c1F279BD5dA,"{1,2,3}"
96,247900422499467268,Juliano Filetti,6020,2022-02-26T04:27:11.919Z,2022-02-26T04:34:22.822Z,0x35d7999A54fd0aBbdb6802aF2F4446D654019986,"{1,2,3}"
112,888147313569173586,CALE,2511,2022-03-14T18:05:21.012Z,2022-04-04T15:51:58.874Z,0x3dd22EAf7539dA00ee33811014E9BD14e9F40f8D,"{1,2,3,4}"
56,346800578657124363,nanukem,0023,2022-02-12T19:33:49.389Z,2022-02-26T11:18:35.065Z,0xD911C34F2aCf2fb1A31a015f310D8C5Ad430FBD1,"{1,2}"
151,855592511677923339,AndreBrito,2391,2022-03-16T22:22:42.079Z,2022-03-16T22:28:57.744Z,0x62d323aAe31A25e1cf5eDB12e1f32A8f79Fb5701,"{1,3}"
102,443954312079474718,BiT,3286,2022-03-10T02:57:45.961Z,2022-04-06T18:39:15.784Z,0x213fb1e86D1D7d0565Cdcfa9e38242909Dd106cB,"{1,2,3,4}"
98,429437284996087808,thiagorochatr,7545,2022-02-28T01:52:42.03Z,2022-02-28T02:02:05.276Z,0x344AEdD72A51BD30394F9f4cDb754CD4bE3C7F51,"{1,2,3}"
97,872625553155424256,Douglas Vieira,3174,2022-02-27T13:35:20.266Z,2022-02-28T03:07:48.862Z,0x34127D48AE1Ef6D382b98Cc590480f2cf494E4D3,"{1,2,3}"
52,537634108788965403,Matheus Milanese,6676,2022-02-08T22:33:22.93Z,2022-04-10T18:48:07.661Z,0x11322fa683953c69dcF5351F60cB0D88c5DD9726,"{1,2,3,4,5}"
155,792803687487111229,Mara_Filipa,8244,2022-03-19T15:13:45.398Z,2022-04-08T19:56:16.832Z,0xd2f8d886C19D3bd783a5E311a5035a57b2F6Cf44,"{1,2,3,4,5}"
99,729765139804323896,araujo6_6,6244,2022-02-28T18:02:12.857Z,2022-07-24T15:01:27.923Z,0x399a9882D8442463847f7A1DBD2f9620FeA43B7c,"{1,2,3,4,5,6,7,8,9}"
115,337658385765892099,Becker,1205,2022-03-16T02:49:16.533Z,2022-07-20T16:41:06.505Z,0x88a2C25D09F023496476450408d687797259AB64,"{1,2,3,4,5,6,7,8}"
55,920807059451162694,Tarsadir,1856,2022-02-11T13:41:45.608Z,2022-05-04T16:37:38.708Z,0x25EA07d24a463112221FfC7caf3a93F278c7474f,"{1,2,3,4,6}"
100,692779597594624100,Henrique Lopes,9510,2022-03-07T02:13:39.573Z,2022-03-07T02:39:12.333Z,0x503882057185E6076be4bbADD5A65c6533EDeF23,"{1,2,3}"
104,203962225742970881,IgorSandrini,5200,2022-03-10T13:34:37.715Z,2022-03-10T13:57:27.57Z,0x0dAb8FDeFfc501bf080615952Dcd7bf116D5B506,"{1,2,3}"
105,504023531231903745,Bruno Moniz,2491,2022-03-10T15:23:24.046Z,2022-03-10T15:23:24.111Z,0x79B8730E6657fd336abd7E5274f4629Bd85D52A3,{1}
153,774241889955217428,Artur Nery,4519,2022-03-17T21:59:00.051Z,2022-03-17T22:01:22.713Z,0x0a7f7563993B7Dd1A7c8CA51C7e500aE6F5816d7,"{1,2,3}"
106,907336416042827857,faam,3589,2022-03-10T19:10:04.876Z,2022-03-10T19:10:05.301Z,0x6215eF1B2Dbd7C0075C050a2b60115005eB59E8b,{1}
154,466737493388034051,T0MB,1708,2022-03-17T23:55:49.297Z,2022-03-17T23:57:56.797Z,0xbeB31411F94701D4D090E0B79c7CcE1EEf8c189D,"{1,2,3}"
118,918938515465699368,beaga.eth,0402,2022-03-16T14:43:08.48Z,2022-03-22T02:20:11.288Z,0xc377d8ebd32e477f71d241eb660fb4cd7232e307,"{1,2,3,4}"
113,559304121388105730,Mantega,9765,2022-03-14T19:55:44.264Z,2022-03-22T21:09:59.312Z,0x44d0fcF1556CB48Ec3885BE6E1cD2544D17d1aBE,"{1,2,3}"
110,748993711353888848,isabele_pinto,3476,2022-03-13T19:36:30.898Z,2022-03-22T21:47:53.42Z,0xF293d169f22E02440a939E2b9c2c5391018b7dCf,"{1,2,3,4}"
156,928096523391234048,Gapul_Kingdom,8395,2022-03-19T20:32:48.153Z,2022-03-19T23:42:20.667Z,0x9ec1DFe6d65Df1C2A3B44DD25a233e897ab8e82D,"{1,2}"
300,484507195950759951,Bruno Sá,1527,2022-05-03T12:49:17.906Z,2022-05-03T13:52:50.088Z,0xda75c41e5DD14235f49589F88E6166B3A0717dDd,"{1,2,3,4,5,6}"
195,954465490070282240,BrunoSV7,6493,2022-04-05T20:50:00.701Z,2022-05-04T15:26:05.634Z,0x62b4996956493eA716409c05AEAE581D7d450E9E,"{1,2,3,4,5,6}"
516,663903125026897940,accardosos,8442,2022-07-03T21:56:58.978Z,2022-07-03T22:18:11.912Z,0xB832df0a785d30621155C3ac6C598CC2B1a51a80,"{1,2}"
103,879805988981583913,Zòccoli,9960,2022-03-10T03:54:17.103Z,2023-02-21T23:43:35.95Z,0xC446Cd84A4AEdC194799a922cBc5727C14738234,"{1,2,3,4,5,6,7,8,9}"
264,897574162678288474,rhrhmoreira,7456,2022-04-24T18:13:34.956Z,2022-04-24T18:13:35.021Z,0x311A0d622410B07090190c803B378e9D058eA5b1,{1}
175,339872015857221633,Natã,2560,2022-03-25T19:28:30.183Z,2022-03-25T19:28:30.234Z,0xfB7f3c70071eEca0ae2fEe331D2212d46d63FecB,{1}
10,770438870193799178,falico,8773,2022-01-24T03:03:42.906Z,2022-06-06T02:01:25.151Z,0xD6F42Acd3109Bc3D6827cfafB16CbC996BF67171,"{1,2,3,4,5,6,7,8}"
187,243758932080853002,Perons,1191,2022-03-31T01:37:25.988Z,2022-03-31T02:02:47.697Z,0x439FB4aD99E13bB517F930EB550CCf0a6B2bcFb2,"{1,2,3,4}"
214,879756928899743784,Kaique Assis,0604,2022-04-14T12:28:56.449Z,2022-05-02T15:14:34.232Z,0x5230C4eF3068B2D0372D5752F59Edf5e1F86e080,"{1,2,3,4,5}"
176,397556726800449546,thiessen,9910,2022-03-26T02:59:00.69Z,2022-03-26T14:33:02.475Z,0x179d2be3Ca4eec6106bDf83a0674dD44D117c342,"{1,2,3,4}"
194,590704674391195659,Filipe Villegas,3406,2022-04-05T17:52:34.994Z,2022-04-05T21:12:30.851Z,0xEB4AeaC18E45187251AA9908FbdD290d0E0dEA68,"{1,2,3,4,5}"
177,865902607074721823,Fernando Moreira,5037,2022-03-27T12:55:12.833Z,2022-03-27T14:17:05.121Z,0xeA0b5b4a721a75f843347EfD5f249e6D93284Ff9,"{1,2,3,4}"
178,801894930708299796,Cairo,8653,2022-03-27T18:32:13.489Z,2022-03-27T18:48:45.046Z,0xC674eFb255549EeB1fc2214dc027A1515Bf99263,"{1,2}"
200,840410243896311848,martinazzo,4014,2022-04-06T21:26:51.598Z,2022-04-06T21:33:37.56Z,0xff7D35B8c4DB2e348958dEdb70c8ec03428C6306,"{1,2,3}"
188,959227615032508477,Pedro Lúcio,1041,2022-03-31T23:50:33.594Z,2022-04-01T00:59:51.282Z,0xb52c4773ff782B6C21e745258F16F306E2a004Eb,"{1,2,3,4}"
179,635460829197631488,cedrokaique,0441,2022-03-28T00:25:28.169Z,2022-03-28T01:07:52.815Z,0x8191d0A4AA7D7aa38e8581E5d01b56e327703240,"{1,2,3,4}"
342,256910063086731264,mulder,6721,2022-05-10T19:10:26.461Z,2022-05-10T19:10:26.533Z,0x296c997073A3Abf7A7f3E12414bE7A781eEB0A6e,{1}
181,343935819704172545,CiscoCamelo,9418,2022-03-30T04:00:00.296Z,2022-03-30T05:47:37.146Z,0x9109F6af05D7817f95AbDf71D9b2eB4Fabfa98BE,"{1,2,3,4}"
182,546458520216928268,Guilherme Viotti,6203,2022-03-30T13:05:58.454Z,2022-03-30T18:03:51.537Z,0xC91B1f7ffc7D5fb85F22688c33fBcC2b89F548f5,"{1,2,3,4}"
189,272876435499122689,${vinicius},7193,2022-04-02T16:50:14.694Z,2022-04-02T17:04:34.983Z,0x68B50E6302b1422f6fa829BB8E84d4DcAf568596,"{1,2,3,4}"
185,855945791906512951,cres100cio,8660,2022-03-30T17:50:03.131Z,2022-03-30T18:27:21.736Z,0xEac3689DA7e59F36772f34fC7288f8202527e387,"{1,2,3,4}"
190,803363034323746877,Luca Braga 🇧🇷,2411,2022-04-03T20:36:03.174Z,2022-04-03T20:36:03.382Z,0x211f8B8bdd977A0Af71B4b9223Bc9Fa46f797896,{1}
191,256448487749713920,Gustavo Warmling,8219,2022-04-03T22:52:30.231Z,2022-04-03T22:52:30.253Z,0x784D1F941b64Cfd5Ce8b9E8A66A2C66734312AbB,{1}
193,455539629852983297,.Antony,0841,2022-04-05T01:01:39.536Z,2022-04-05T01:25:15.389Z,0xcC7d1CFF670c36738635772fcE933735eB49123C,"{1,2,3,4}"
180,953703596912943314,lokogyn,9949,2022-03-29T00:33:58.917Z,2022-04-05T03:24:42.08Z,0xD2363EAaC1dc5863E52542c3C5aEbbF17084D797,"{1,2,3,4}"
202,958836346372374558,JowJow,6745,2022-04-08T01:47:44.055Z,2022-04-08T02:04:26.598Z,0x61a1Ee0F2Ac898278f1FdEA7590c8C583dA6d36A,"{1,2,3}"
197,789274355384451073,marciogonzagajr,0103,2022-04-06T15:01:24.98Z,2022-04-06T16:46:39.14Z,0x52EDB71aD4E48ea00A816b3f584EFd09A0E5917b,"{1,2,3,4,5}"
206,287616871748993024,Frxls,3525,2022-04-09T01:30:59.575Z,2022-04-09T01:44:24.741Z,0xe5BfA426B219bbb6Ac86f2ec693255944Ec9bf85,"{1,2,3,4,5}"
199,415688102388957195,Augusto Nery | Blvck,1497,2022-04-06T20:06:33.906Z,2022-04-06T20:06:33.926Z,0x4a173d219Ab38A5831AaC529aAdFABf5BC336Eb8,{1}
198,341723255557718017,EverFelipe,3284,2022-04-06T18:27:01.244Z,2022-04-09T11:09:46.644Z,0x1B4432175603Dc50c64de74D93169f12616114Fe,"{1,2,3,4,5}"
184,873353928157306931,FRANCO,9615,2022-03-30T15:28:51.098Z,2022-04-09T16:48:23.051Z,0x0fdbf916d9f6CC7Fc42c92708822E06FFBc460D1,"{1,2,3,4,5}"
205,694308752341336064,Paulo001,9140,2022-04-08T17:34:45.607Z,2022-04-08T17:45:48.739Z,0xD998Ff976b1D3A3Cdd7bD16C1908537ff7aA6aB8,"{1,2,3,4,5}"
207,908307677527035904,Allan AGFER 🏴,5325,2022-04-10T11:48:50.853Z,2022-04-10T13:14:39.287Z,0x87e6CeA7773A988E48cb8A95E6bda66bb780Cb37,"{1,2,3,4,5}"
210,279870797080821760,Raphael Alves,9037,2022-04-12T14:29:30.264Z,2022-04-12T14:39:16.069Z,0x3A20d6710550f1C53Ae49E7a3154e8b82bdac2f7,"{1,2,3,4,5}"
211,878824546289975347,Buni,7750,2022-04-13T05:45:32.111Z,2022-04-13T05:59:52.565Z,0xE5D2BEAbC8055943f7fc23D7924cDaDcF78883A8,"{1,2,3,4,5}"
201,937119005259489300,GiorgeAbdala,2172,2022-04-07T23:58:15.962Z,2022-04-13T20:49:05.491Z,0x22CD59671d525d08EfDAEc0109E42De4C0088Dca,"{1,2,3}"
215,964235882569809920,James.London,6902,2022-04-14T20:10:22.851Z,2022-04-14T20:10:22.916Z,0xCb1d1b85D2a4Fae850c27B1087f746709dAAeE4c,{1}
212,815645121492025375,Alvaro O.H.,9025,2022-04-13T23:40:55.806Z,2022-04-14T00:36:00.073Z,0xc88c0f5e4B04C2357c91731E5c8d63074F36A0e3,"{1,2,3,4,5}"
209,963177694504292375,maibarile,5446,2022-04-12T04:17:43.707Z,2022-04-15T03:50:10.883Z,0xb2FCB5eD387a6B8c2ECe02f2ba55832B1689A645,"{1,2,3,4}"
249,395704573798645770,fabianadop,3969,2022-04-16T18:27:11.357Z,2022-04-16T18:27:11.528Z,0x1348D745c2CC499fd8e35B812ED68378582EF4ed,{1}
216,272585183818153985,0xFlpx,2284,2022-04-15T01:38:41.453Z,2022-04-15T01:46:56.393Z,0xd0E1870d05F8ca57B8F6fC31f90fd44Be5161aDa,"{1,2,3,4,5}"
250,536316599230267403,knox,4578,2022-04-16T23:04:48.147Z,2022-04-16T23:11:54.073Z,0x5dFD6FeFe4d8ad861e851e5191Dc038e4AFa92CB,"{1,2,3,4,5}"
251,441626959882223617,coltpunk,1541,2022-04-18T01:44:53.996Z,2022-04-18T02:02:38.097Z,0xe1E801E4891a88d01a028D8ef34352Aa07f188dd,"{1,2,3,4,5}"
253,964348257029459969,leolongo,3324,2022-04-19T01:13:01.316Z,2022-04-20T00:41:06.013Z,0xA00980986D126C27672F5dad03853F563dD63F3f,"{1,2,3,5}"
263,379383473221140481,ivanferreirajr,9152,2022-04-24T14:00:12.198Z,2022-04-24T17:15:06.124Z,0xC29f6ab23e5dAdb86c01a060D2A170398D4146f3,"{1,2,3,4,5}"
186,345677659797192704,coda,5800,2022-03-30T22:53:29.26Z,2022-03-30T23:31:50.844Z,0x8814163F3b0A2C3E178592c68CA009f2CA5eACFc,"{1,2,3,4}"
302,969371387800215623,pauloRodrigo,6688,2022-05-03T19:57:22.072Z,2022-05-03T21:15:03.278Z,0x38ce6C7F007ac806AA2E8333857fC83414834bE2,"{1,2,3,4,5}"
183,919717025251729499,Weullington,2442,2022-03-30T13:52:30.066Z,2022-03-31T11:13:11.634Z,0x46E2fDE5D346dA187c3E767F01F5F25615f7535A,"{1,2,3,4}"
203,860719439947366401,fabricionicolau1,3662,2022-04-08T02:18:00.513Z,2022-04-08T02:22:38.796Z,0xABF8C2e165eD860B239aA55D1eeA4e576cFacaa8,"{1,2}"
157,914388330211323916,Aguz,9776,2022-03-20T11:47:44.059Z,2022-04-09T20:01:26.605Z,0x5a338bB2420153209f303b58b9A6272eB1f031a6,"{1,2,3,4,5}"
374,491059583620612098,MikaelCarlos,3125,2022-05-20T18:43:11.532Z,2022-05-20T21:24:34.54Z,0x5FD8e712a93d25D871beD9bfa4d35326e241F125,"{1,2,3,4,5}"
252,790559020490555433,vitiello,1619,2022-04-18T13:39:51.751Z,2022-04-18T13:59:36.591Z,0xAF23f871624CA4Fb93eb5fE7a647D5Fed3D48FC5,"{1,2,3,4,5}"
339,946508117645078569,Osmar Jr,6534,2022-05-10T03:15:28.738Z,2022-05-10T03:29:33.036Z,0x0b16A13422bF600A0940b7280AF1C205F2F443CC,"{1,2,3,4,5,6}"
422,556233758299258923,given2fly.eth,5473,2022-06-06T14:30:42.213Z,2022-06-06T15:55:52.474Z,0xC0dDE70eD5a68A2508F65A9E1287247C9bDa632E,"{1,2,3,4,5,6,7,8}"
